clientIp,avg(sessionTime)
1.22.238.8,638.0
1.38.17.218,925.0
1.23.72.126,826.0
1.22.247.164,101.0
1.23.65.234,881.0
1.22.13.231,155.0
1.23.183.92,0.0
1.23.140.8,51.0
1.187.190.239,1803.0
1.23.210.134,610.0
1.23.50.56,0.0
1.38.21.217,364.0
1.38.23.123,577.0
1.39.14.154,766.0
1.39.34.239,741.0
1.39.60.237,1064.0
1.39.35.209,849.0
1.39.46.169,0.0
1.39.46.25,419.0
101.2.7.231,583.0
101.222.241.126,666.0
101.60.166.58,0.0
1.39.63.111,523.0
101.212.70.60,1247.0
101.57.8.66,632.0
1.39.9.226,231.0
101.60.184.244,642.0
101.62.211.64,0.0
1.39.60.88,0.0
101.63.201.66,830.0
101.62.211.159,0.0
1.39.96.35,476.0
101.222.234.99,0.0
101.59.72.165,588.0
101.222.173.221,0.0
101.57.63.246,708.0
103.224.156.230,867.6666666666666
103.230.222.254,1386.5
103.224.157.240,759.0
103.231.219.22,0.0
103.231.222.2,1050.5
103.24.109.175,0.0
103.238.104.133,752.0
103.246.196.13,964.5
103.245.20.134,312.0
103.239.170.7,313.0
103.252.25.58,0.0
103.27.171.50,1416.6666666666667
103.255.225.234,964.0
103.248.173.24,544.0
103.250.166.5,969.0
103.5.187.214,123.0
103.43.34.165,552.0
103.37.183.219,858.0
106.209.73.48,663.0
106.216.168.58,0.0
106.194.48.11,181.0
106.208.227.191,383.0
106.215.172.20,929.0
106.216.139.42,991.0
103.51.89.174,130.0
106.194.31.208,854.0
106.215.176.85,276.0
106.212.234.235,67.0
106.219.38.25,723.5
106.195.213.128,85.0
106.212.49.14,0.0
106.192.190.119,843.0
106.192.136.46,8.0
106.213.210.99,121.0
106.208.135.249,0.0
106.219.28.171,0.0
103.51.209.229,910.0
106.196.145.97,2058.0
106.76.193.134,0.0
106.220.54.129,229.0
106.67.99.70,758.0
106.78.249.254,943.0
107.167.103.136,47.0
106.66.213.9,0.0
106.76.53.78,389.0
106.78.3.222,287.0
106.77.26.52,0.0
106.66.196.131,637.0
106.78.12.227,491.0
106.51.239.190,1051.0
106.77.13.234,0.0
106.67.34.241,38.0
106.66.74.151,1003.0
106.79.153.171,647.0
106.77.86.202,956.0
106.220.25.230,757.0
106.221.159.148,0.0
106.66.19.144,0.0
106.79.182.76,725.0
106.66.116.201,0.0
106.77.108.109,815.0
106.78.43.234,515.0
106.77.64.249,870.0
106.78.78.32,413.0
106.66.53.119,889.0
107.167.108.118,0.0
106.76.237.251,843.0
107.167.109.104,1695.6666666666667
107.167.109.70,625.3333333333334
111.93.60.14,916.0
110.232.254.100,789.0
111.93.124.37,2739.0
111.93.141.58,501.0
110.172.189.109,699.0
111.125.194.132,521.0
112.79.35.145,927.0
112.196.121.83,448.0
112.79.35.48,165.0
112.110.29.125,323.0
112.79.35.184,286.0
112.196.7.171,0.0
112.79.37.204,931.6666666666666
112.79.39.151,552.0
115.112.105.250,104.5
114.143.72.177,0.0
113.208.92.113,724.0
113.193.159.54,850.0
113.193.108.12,863.0
114.143.119.34,1500.0
115.248.236.50,765.5
115.113.224.21,0.0
115.187.34.218,0.0
115.241.31.157,370.0
115.246.93.21,120.0
115.242.230.15,729.0
115.242.154.226,740.0
115.117.85.66,979.0
115.246.89.92,962.0
115.118.26.149,32.0
115.246.80.206,469.0
115.241.46.79,328.0
115.242.147.252,839.0
115.252.124.229,0.0
115.252.199.151,233.0
115.251.65.129,679.0
115.248.35.13,1141.0
115.98.50.233,969.0
116.203.79.21,0.0
115.254.79.194,249.0
116.202.154.102,346.0
116.74.160.36,898.3333333333334
116.72.167.107,968.0
116.203.95.226,303.0
116.74.10.186,2625.0
117.195.240.65,823.0
116.74.2.61,0.0
117.199.220.86,1104.0
117.194.250.142,720.0
117.200.62.0,215.0
117.206.158.173,625.5
116.75.142.185,73.0
117.205.184.67,786.0
117.197.245.164,356.0
117.192.130.76,198.0
117.204.158.77,694.0
116.75.91.203,0.0
117.192.46.72,733.0
117.203.203.147,488.0
117.205.101.182,376.0
116.75.93.61,1373.0
117.199.47.158,635.0
117.204.146.30,143.0
117.194.198.97,416.0
117.193.180.131,0.0
117.201.227.36,768.0
117.205.142.82,471.0
117.203.253.151,791.0
117.196.203.217,633.0
117.200.1.7,837.0
117.213.92.53,648.0
117.213.104.139,962.0
117.213.157.206,523.0
117.211.58.47,0.0
117.206.43.105,522.0
117.213.109.26,605.0
117.213.203.143,494.0
117.207.201.36,580.0
117.214.70.11,0.0
117.217.81.156,0.0
117.231.117.92,885.0
117.224.15.73,0.0
117.216.180.213,759.0
117.220.183.78,372.0
117.222.210.45,872.0
117.220.248.230,0.0
117.231.14.29,929.0
117.230.138.215,0.0
117.216.241.56,0.0
117.217.131.172,595.0
117.231.75.231,457.0
117.214.135.81,681.0
117.216.22.152,0.0
117.221.80.140,591.0
117.225.111.110,492.0
117.226.12.246,843.0
117.238.49.76,764.0
117.218.192.191,670.0
117.238.117.74,992.0
117.227.242.161,709.0
117.239.12.66,789.5
117.228.116.129,838.0
117.255.232.50,0.0
117.242.99.160,0.0
117.247.170.197,1192.0
117.248.89.26,1193.0
117.253.58.114,0.0
117.246.216.147,202.0
117.244.107.242,933.0
117.248.76.223,855.0
117.242.44.42,778.0
117.255.242.164,358.0
117.253.163.162,504.0
117.245.132.229,1053.0
117.250.12.174,854.0
117.255.233.115,0.0
117.240.189.82,705.0
117.247.166.42,0.0
118.102.235.69,425.5
120.60.177.203,831.0
120.59.151.50,641.0
120.56.213.22,45.0
12.10.219.222,174.0
120.59.232.156,0.0
120.60.201.99,267.0
121.242.40.10,1628.0
120.58.197.151,0.0
120.57.201.33,0.0
119.226.90.54,766.0
122.102.120.156,0.0
122.161.183.88,98.0
121.245.72.134,875.0
122.161.196.68,1093.0
122.102.120.229,156.0
122.161.174.230,617.0
122.15.30.157,834.0
122.161.241.117,524.5
122.164.185.138,488.0
122.163.59.144,0.0
122.163.45.3,0.0
122.163.149.132,2461.0
122.166.212.200,712.0
122.163.219.28,976.0
122.164.239.195,94.0
122.175.219.173,1019.0
