clientIp,avg(sessionTime)
1.186.32.38,329.6666666666667
1.187.246.92,257.0
1.23.148.7,188.0
1.23.86.233,0.0
1.22.133.9,465.0
1.22.39.91,853.0
1.187.223.209,0.0
1.38.23.81,177.5
1.23.228.86,515.0
1.39.14.165,1329.5
1.39.12.222,322.0
1.39.13.251,0.0
1.39.14.245,383.0
1.39.14.88,366.0
1.39.96.50,0.0
1.39.96.66,768.5
1.39.62.125,2713.0
1.39.33.78,1281.0
101.62.197.74,179.0
101.212.71.221,626.0
101.222.160.158,580.0
101.57.169.78,36.0
101.212.67.166,392.0
101.222.239.127,285.0
101.56.21.232,727.0
101.209.206.38,825.0
101.63.192.222,302.0
101.212.69.4,627.0
103.16.70.20,1033.6666666666667
101.63.222.83,1475.0
101.60.221.32,0.0
101.63.220.208,1099.0
101.222.133.62,825.0
101.63.138.193,1986.0
101.221.136.76,801.0
101.222.186.102,488.0
103.230.103.191,0.0
103.249.88.211,505.0
103.27.171.49,1346.0
103.226.88.35,1028.0
103.249.76.62,796.0
103.253.208.162,591.0
103.24.173.218,641.0
103.17.158.185,0.0
103.17.128.68,298.0
103.57.240.162,706.0
103.51.211.114,965.0
103.58.126.181,199.0
103.6.158.193,989.75
103.8.194.82,431.0
106.220.46.177,686.0
106.221.129.54,0.0
106.215.171.25,290.0
106.220.28.202,176.0
106.201.49.195,570.0
106.208.117.192,0.0
106.219.22.251,496.0
106.220.133.68,20.0
106.196.223.169,0.0
106.221.140.70,662.0
106.208.104.116,481.0
106.215.189.111,0.0
106.66.74.51,774.0
106.79.48.131,477.0
106.223.206.85,869.0
106.79.146.46,259.0
106.67.104.214,224.0
106.79.127.33,0.0
106.77.57.143,887.0
106.79.197.253,0.0
106.78.87.117,673.0
106.79.141.46,0.0
106.221.150.62,147.0
106.78.120.240,565.0
106.76.253.183,802.0
106.51.183.201,0.0
106.76.133.176,728.0
106.51.242.122,0.0
106.51.138.229,831.0
106.79.0.254,0.0
107.167.107.0,773.5
107.167.103.192,589.0
111.91.225.98,0.0
111.92.117.11,555.5
107.167.109.197,0.0
112.196.4.10,277.0
112.110.7.190,0.0
112.110.21.4,476.0
112.196.138.160,590.0
112.110.101.224,81.0
112.196.104.36,670.0
112.79.37.192,981.5
112.196.5.69,617.0
112.79.38.69,288.0
112.79.38.90,665.5
114.143.75.7,802.0
112.79.39.69,1004.0
113.19.213.226,1146.0
115.112.118.35,930.0
115.110.83.165,978.0
115.117.116.55,502.0
114.143.35.175,0.0
113.193.165.130,487.0
115.248.9.242,5.0
115.244.193.113,548.0
115.245.137.178,0.0
115.248.81.2,806.0
115.242.225.223,676.0
115.241.215.32,1192.0
115.252.33.103,290.0
115.245.251.81,899.0
115.250.27.201,967.0
115.118.216.204,28.0
115.245.246.103,1062.0
115.242.240.245,654.0
115.250.67.40,287.0
116.202.126.192,985.0
116.119.128.48,1103.0
116.193.141.144,338.0
116.15.204.133,121.0
116.203.32.162,1136.0
117.195.45.239,73.0
116.73.170.15,0.0
116.203.205.64,445.0
116.203.63.1,852.0
116.202.25.30,13.0
116.202.36.67,361.0
117.192.173.29,0.0
116.75.8.120,962.0
117.197.242.101,326.5
116.202.38.127,723.0
116.74.35.90,468.0
117.192.203.22,0.0
117.195.164.17,864.0
117.201.55.220,508.0
117.223.110.90,1008.0
117.200.112.60,321.0
117.210.120.165,578.0
117.223.89.189,943.0
117.212.238.10,0.0
117.205.145.106,0.0
117.220.2.120,206.0
117.211.54.140,0.0
117.208.58.150,304.0
117.215.60.185,82.0
117.247.92.117,0.0
117.213.3.220,0.0
117.253.132.186,454.0
117.207.253.80,0.0
117.203.219.50,0.0
117.201.116.147,0.0
117.209.180.162,1701.0
117.253.161.173,36.5
117.212.68.86,807.0
117.221.10.100,733.0
117.250.95.42,372.0
117.252.68.228,30.0
117.214.51.44,1019.0
117.229.44.62,687.0
117.240.199.2,579.0
117.244.80.156,680.0
117.221.45.161,0.0
117.201.63.68,882.0
117.247.242.26,858.0
117.201.117.133,0.0
117.213.213.111,191.0
117.214.55.79,485.0
117.251.45.24,0.0
117.242.188.8,712.0
117.248.86.225,401.0
117.244.18.230,477.0
117.201.121.196,886.0
117.214.46.163,1066.0
117.226.155.105,1024.0
117.253.106.247,0.0
117.200.231.161,900.0
117.247.244.58,530.0
117.220.74.158,1095.0
117.200.156.148,764.0
117.200.36.59,0.0
117.230.108.104,562.0
120.88.41.160,363.0
122.15.55.29,760.0
117.253.215.63,0.0
122.162.9.158,2479.0
117.253.232.23,0.0
121.44.82.58,0.0
119.235.50.170,213.0
122.164.16.82,779.0
117.253.208.40,0.0
122.160.70.5,280.0
122.160.49.58,64.0
117.253.206.90,0.0
121.241.99.2,775.0
122.102.125.35,771.0
117.255.209.41,510.0
122.160.12.41,555.0
120.59.142.53,42.0
117.255.255.4,0.0
122.163.76.216,533.0
120.89.79.12,753.0
117.253.204.158,0.0
120.63.38.43,457.0
122.165.95.111,0.0
122.167.78.122,927.0
122.166.183.173,1504.0
122.175.21.220,286.0
122.171.219.8,1062.0
122.171.81.248,313.0
122.176.133.103,1582.5
122.170.23.191,815.0
122.165.54.47,751.0
122.173.184.244,787.0
122.170.49.81,0.0
122.168.163.236,1003.0
122.169.171.254,9.0
122.168.40.139,808.0
122.167.26.92,464.0
122.168.189.123,985.0
122.167.152.224,495.0
122.172.148.74,838.0
122.164.39.122,43.0
122.167.46.158,507.0
122.176.90.203,544.0
122.177.34.224,585.5
122.177.168.73,807.0
123.201.154.161,268.0
123.239.164.74,1205.0
124.30.230.214,117.0
124.124.219.65,660.0
123.201.68.189,660.0
123.63.229.205,0.0
123.201.103.63,0.0
123.136.198.101,0.0
123.136.214.180,207.0
