clientIp,avg(sessionTime)
1.186.146.211,0.0
1.38.18.106,794.0
1.187.200.214,0.0
1.186.50.114,718.0
1.22.202.48,233.0
1.38.19.167,749.0
1.38.19.249,0.0
1.38.19.63,613.0
1.39.10.195,487.0
1.38.23.124,0.0
1.39.60.36,0.0
1.39.60.223,0.0
1.39.14.3,0.0
1.39.33.208,0.0
1.39.12.117,0.0
1.39.35.219,755.0
1.39.15.210,1044.0
1.39.14.142,0.0
1.39.61.161,476.0
1.39.62.108,1192.0
1.39.62.107,306.0
1.39.8.61,377.0
103.240.79.109,379.5
101.222.173.134,741.0
101.2.64.181,345.0
101.62.165.1,775.0
101.63.231.55,0.0
1.39.96.194,669.0
1.39.96.34,835.0
101.62.244.204,539.0
103.12.119.166,0.0
101.221.136.110,237.0
101.57.14.108,755.0
103.24.108.179,798.0
103.240.78.226,25.0
103.232.129.188,0.0
101.222.238.189,696.0
101.222.167.253,1335.0
103.238.107.229,572.0
101.56.170.172,765.0
101.212.70.152,157.0
1.39.97.41,0.0
101.63.212.12,724.0
103.11.80.54,951.0
101.2.37.35,0.0
103.243.113.40,800.5
103.243.115.237,1104.25
103.250.151.139,58.0
103.252.24.174,864.5
103.249.205.74,855.0
103.250.153.39,59.0
103.254.236.5,712.3333333333334
103.44.119.79,747.0
103.49.225.204,910.0
103.48.33.95,677.0
103.5.132.2,854.6666666666666
103.38.201.239,0.0
103.50.76.253,180.0
103.50.80.24,465.0
103.56.252.17,1012.0
106.192.182.190,433.5
106.192.168.100,2163.0
106.192.175.157,1007.0
106.192.160.141,0.0
106.220.30.39,807.0
106.203.174.142,622.0
106.220.3.98,1039.0
106.208.185.225,0.0
106.77.244.31,589.0
106.76.152.188,1046.0
106.66.2.144,82.0
106.215.183.59,868.0
106.196.69.48,1071.0
106.220.15.160,352.0
106.78.9.188,747.0
106.215.153.219,134.0
106.78.87.208,526.0
106.192.191.6,0.0
106.221.132.164,722.0
106.77.230.95,852.0
106.78.85.5,156.0
106.221.129.96,299.0
106.78.59.181,0.0
106.219.5.115,0.0
106.77.82.44,0.0
106.215.191.131,0.0
106.219.1.18,905.0
106.77.152.87,895.0
106.219.36.35,875.0
106.220.44.39,1091.0
106.215.171.173,14.0
107.167.107.83,455.0
106.221.143.19,220.0
106.79.173.29,993.0
106.78.34.107,698.0
106.77.145.122,0.0
106.78.214.125,911.0
106.194.5.118,0.0
106.66.138.240,732.0
106.209.198.129,0.0
106.220.88.140,938.0
106.76.20.215,0.0
106.78.164.225,766.0
106.51.73.86,632.0
106.208.86.180,0.0
106.51.130.150,38.0
107.167.108.198,441.0
107.167.109.165,619.5
111.93.184.38,25.0
111.235.64.68,503.0
111.91.123.144,802.0
111.93.30.187,330.0
112.133.233.100,1454.0
112.79.35.227,916.5
112.208.234.243,830.0
112.79.36.147,813.0
112.79.38.60,1290.0
114.143.215.250,906.0
114.143.56.105,276.0
115.111.174.46,549.5
113.193.204.114,535.0
113.193.61.248,543.0
113.193.114.38,575.0
113.193.96.119,38.0
113.21.66.197,257.0
115.114.69.98,803.25
115.112.120.91,0.0
115.248.135.228,910.0
115.184.192.92,990.0
115.184.5.35,701.0
115.248.9.170,916.0
116.202.17.192,0.0
115.250.56.173,971.0
116.202.34.225,292.5
115.250.27.192,533.0
115.245.98.70,300.0
115.243.186.44,636.0
115.251.218.245,133.0
116.193.135.62,569.0
115.99.100.187,113.0
115.250.78.118,895.0
115.249.177.58,498.0
115.241.107.224,976.0
115.250.60.102,395.0
115.118.46.204,175.0
116.202.34.84,1857.5
117.204.63.178,0.0
117.192.241.83,878.0
117.205.186.6,866.0
117.197.14.253,397.0
116.68.100.169,832.0
117.194.110.239,610.0
117.197.143.232,778.0
117.198.78.183,834.0
117.195.199.39,141.0
116.72.204.163,861.0
116.74.34.217,177.0
117.201.138.229,325.0
117.201.47.176,831.0
116.203.119.143,424.0
117.206.183.93,1035.0
116.203.201.161,662.0
117.208.66.35,0.0
117.211.143.42,289.0
117.197.137.173,256.0
117.192.55.69,0.0
117.205.20.193,126.0
117.199.225.100,173.0
117.197.221.181,736.0
117.203.113.2,0.0
117.193.178.142,789.0
117.194.112.104,0.0
117.195.60.87,0.0
116.203.73.142,0.0
117.193.99.77,0.0
116.75.36.224,765.0
116.203.76.157,1441.0
117.200.87.173,917.0
117.206.145.204,41.0
117.217.208.174,584.0
117.248.196.137,945.0
117.233.223.217,729.0
117.220.19.77,575.0
117.244.104.241,600.0
117.252.157.83,435.0
118.102.236.246,647.0
117.248.188.218,925.0
117.246.68.158,1020.0
118.102.129.154,0.0
117.229.39.195,294.0
117.224.241.111,0.0
117.211.2.111,0.0
117.213.221.53,361.0
117.217.105.220,321.0
120.56.224.204,0.0
117.216.247.237,1029.0
117.220.91.137,0.0
117.212.129.201,959.0
117.217.89.102,951.0
117.243.236.168,393.0
117.236.215.94,0.0
121.241.123.134,499.0
120.60.133.14,453.0
117.221.246.101,0.0
117.220.162.211,251.0
120.56.211.203,623.0
117.216.144.131,595.0
117.99.68.67,885.0
117.215.23.77,349.0
117.253.216.82,0.0
117.212.208.240,657.0
117.212.159.96,732.0
117.221.85.253,989.0
117.212.247.114,208.0
117.247.145.84,726.0
117.254.182.49,648.0
119.226.118.230,237.0
120.56.207.160,0.0
117.253.223.11,0.0
117.220.252.58,544.0
119.226.58.78,362.0
117.223.56.61,324.0
117.96.34.99,733.0
122.15.200.211,839.0
122.162.31.82,699.0
122.162.149.226,0.0
122.168.193.82,1534.5
122.167.159.18,813.0
122.167.238.135,0.0
122.15.44.237,1057.0
122.161.4.224,888.0
122.168.19.109,405.0
122.176.118.113,534.0
122.170.139.249,1707.0
122.177.83.165,1066.0
122.180.243.192,476.0
122.174.210.106,697.0
122.176.140.185,763.0
122.173.224.63,1455.0
122.176.201.144,609.0
122.168.62.64,708.0
122.173.212.211,823.0
122.178.107.145,285.0
122.180.117.90,1093.0
122.168.253.235,788.0
122.174.60.210,945.0
122.173.228.2,874.0
122.172.194.211,46.0
122.178.90.136,678.0
122.170.109.95,793.0
122.177.193.157,984.0
