clientIp,sessionTimeSum
1.187.18.3,790
1.187.214.180,71
1.187.187.230,930
1.23.90.23,0
1.187.242.126,857
1.38.23.206,447
1.38.19.67,478
1.39.13.6,1004
1.187.188.141,553
1.38.19.119,482
1.23.48.235,813
1.187.238.222,0
1.23.34.215,874
1.23.0.251,438
1.39.14.198,1638
1.39.12.211,0
1.39.60.84,23
1.39.60.146,0
1.39.60.188,529
1.39.60.87,1330
1.39.96.42,1738
101.221.134.29,225
101.222.177.45,1101
101.212.71.166,0
101.212.71.72,0
101.222.233.27,0
101.222.250.103,514
101.60.217.178,0
101.59.252.51,468
103.17.85.88,452
101.222.164.11,767
101.59.234.10,922
101.222.253.121,418
101.221.130.30,125
103.17.97.1,950
101.222.177.155,734
101.0.40.193,503
101.63.87.204,2465
101.221.134.72,662
101.222.253.193,477
101.58.166.163,107
103.224.156.228,572
103.2.134.198,1069
103.52.0.2,0
103.244.240.115,255
103.43.35.159,854
103.224.159.41,517
103.57.254.253,105
103.8.40.163,897
103.8.151.135,901
103.254.173.96,0
103.6.156.81,454
103.226.27.35,0
103.31.215.154,862
103.44.172.55,0
103.3.205.16,0
106.192.156.121,1110
103.26.59.126,0
103.227.99.218,865
103.47.58.34,656
103.51.75.104,921
103.36.127.138,0
103.24.85.104,671
106.215.174.224,0
106.196.151.120,0
106.216.167.74,517
106.219.60.101,914
106.219.13.17,235
106.208.11.103,502
106.206.150.156,151
106.219.36.207,788
106.215.128.160,1171
106.192.188.192,0
106.215.177.113,189
106.200.140.205,444
106.208.122.86,0
106.206.138.43,708
106.220.10.187,1084
106.208.18.73,968
106.218.130.57,739
106.208.211.33,643
106.216.172.219,956
106.220.4.142,0
106.221.132.230,21
106.220.213.124,0
106.220.243.240,583
106.51.243.41,707
106.223.101.255,102
106.76.87.103,411
106.79.124.178,0
106.78.238.214,684
106.76.60.254,0
106.76.137.130,377
106.76.189.58,869
106.51.45.30,255
106.66.231.93,540
106.51.58.40,758
106.66.199.149,431
106.78.181.165,861
106.78.223.97,774
106.76.253.162,0
107.167.108.157,2153
106.76.154.44,317
111.93.67.82,1582
111.92.103.119,589
111.93.226.98,403
111.118.245.79,153
111.91.228.232,776
113.193.37.37,0
112.79.38.226,0
114.69.238.25,244
112.79.36.231,1875
113.193.254.91,0
112.196.138.200,4
112.110.5.122,0
115.114.93.67,253
115.117.237.109,1616
116.202.34.197,880
115.241.47.33,825
115.160.247.19,0
115.187.35.71,980
115.187.45.131,451
115.185.150.4,386
115.247.109.129,112
115.118.81.103,37
115.242.132.115,691
115.119.157.146,2727
115.185.187.22,911
115.250.23.133,959
115.250.85.184,664
115.244.229.100,450
115.245.2.34,907
116.193.133.182,919
115.241.53.170,466
115.245.41.6,779
117.199.186.119,850
117.197.225.159,132
117.195.128.68,0
117.194.20.78,869
116.74.95.135,240
116.203.33.242,494
116.203.78.15,278
116.202.34.89,1070
117.194.8.33,0
117.199.204.92,2014
117.195.234.45,509
116.203.75.232,0
117.195.185.6,463
117.198.149.199,673
117.192.17.148,984
117.193.106.147,498
117.196.197.116,868
117.194.80.200,256
117.212.116.213,418
117.224.172.143,50
117.229.44.202,518
117.214.133.72,539
117.216.39.107,866
117.222.123.8,1023
117.223.0.133,985
117.212.19.251,0
117.250.73.180,0
117.200.11.159,0
117.210.105.20,0
117.246.153.211,491
117.253.239.116,376
117.218.184.83,670
117.221.41.131,721
117.245.125.200,474
117.247.32.221,737
117.207.203.208,614
117.250.142.33,587
117.206.176.199,766
117.238.124.109,757
117.206.177.229,871
117.247.55.117,723
117.221.138.95,607
117.222.163.243,82
117.253.211.224,0
117.233.157.58,598
117.212.39.27,685
117.214.94.220,993
117.220.90.146,794
117.255.126.201,3136
117.220.76.222,160
117.248.113.79,725
117.204.178.179,666
117.228.30.56,138
117.241.121.197,907
117.200.95.59,0
117.239.82.66,464
117.208.28.219,378
117.228.120.163,0
117.215.4.13,744
117.214.116.239,0
117.248.187.166,571
117.252.90.122,0
117.215.229.238,0
117.209.128.111,512
117.242.201.245,333
117.207.223.34,854
117.204.226.67,683
117.220.195.173,1761
117.223.199.153,0
117.225.4.210,872
117.247.84.200,830
117.224.161.16,934
117.203.65.156,168
117.204.51.116,708
117.248.66.195,128
117.219.11.252,102
118.102.212.195,0
119.74.178.189,0
117.98.198.155,578
120.138.116.69,2391
117.255.234.171,354
12.68.231.140,0
119.226.254.36,343
119.82.120.20,837
122.160.199.165,1983
122.167.216.82,383
122.175.168.120,0
122.161.135.113,689
122.177.216.110,343
122.163.154.123,997
122.177.84.91,749
122.168.12.234,851
122.172.32.196,162
122.178.119.137,972
122.252.242.131,837
122.169.207.230,0
122.177.128.150,870
122.167.222.126,4
122.180.242.106,698
122.168.109.157,1012
122.163.94.82,0
122.169.61.238,883
122.167.231.7,713
122.169.20.221,652
122.162.89.0,0
122.167.206.120,0
122.174.218.78,0
122.167.154.105,622
122.166.240.78,686
122.175.148.107,864
122.165.79.178,363
122.164.190.149,974
122.177.235.245,860
122.163.197.19,549
122.177.129.247,1020
122.162.223.241,881
122.162.95.227,533
122.170.111.166,877
122.166.47.93,905
123.136.168.162,1545
124.123.225.57,895
124.123.151.150,259
125.16.229.58,276
125.99.86.30,2327
124.123.182.25,404
124.155.218.166,220
123.136.223.176,1023
128.199.94.210,1803
14.139.225.181,3494
134.99.76.148,17
123.201.116.155,0
14.139.229.43,5211
14.139.57.98,3563
14.139.241.66,472
14.140.136.62,1051
14.97.22.249,0
14.97.82.162,645
14.140.214.138,966
14.141.225.98,747
14.96.61.78,962
14.98.60.21,881
14.140.196.36,815
14.98.80.100,875
14.140.164.251,124
14.98.9.243,0
14.98.194.176,1331
14.96.93.172,1450
14.99.209.2,1847
15.203.137.70,575
142.245.59.17,743
141.92.129.45,747
163.47.14.72,490
163.53.86.83,905
152.52.72.65,1007
163.47.12.83,0
150.129.47.200,656
150.129.28.237,643
164.100.105.139,1923
164.100.145.29,5549
168.235.194.141,216
168.235.195.45,70
168.235.197.146,713
168.235.198.18,789
168.235.198.200,0
168.235.200.161,523
175.101.128.12,699
175.101.15.11,6484
175.100.177.226,560
180.215.170.33,489
180.215.34.61,901
180.179.87.100,641
182.71.101.50,1158
180.215.122.99,1003
182.66.17.174,765
180.215.197.49,0
180.151.113.49,0
182.66.6.169,1059
182.66.26.141,1063
182.69.21.5,852
180.188.248.170,1005
182.69.60.44,0
182.66.6.3,146
182.70.171.246,0
182.68.231.165,611
182.72.174.198,975
182.66.8.161,515
182.69.158.212,898
182.73.181.66,765
182.74.242.34,1586
183.82.195.194,715
183.82.101.136,647
183.82.159.21,204
183.82.231.193,776
183.83.75.7,0
183.87.235.166,12
184.151.37.27,0
183.87.137.252,364
192.35.17.16,968
183.87.108.193,0
183.82.221.0,0
196.15.16.103,8941
183.82.137.0,784
202.164.63.91,1612
202.40.6.143,950
203.109.94.15,2442
203.109.124.95,332
203.109.85.62,311
203.115.98.138,966
203.134.194.82,2183
203.117.117.75,1553
203.187.241.181,557
203.91.192.2,4098
203.99.205.234,5586
203.99.218.140,9010
220.225.201.1,2051
210.210.83.118,81
210.212.254.154,649
220.227.246.29,3284
220.225.240.7,1946
223.176.170.250,894
223.196.221.118,736
223.176.58.249,844
223.176.19.133,0
223.176.191.50,0
223.188.194.96,622
223.196.212.26,275
223.176.32.210,1131
223.227.120.26,839
223.227.7.190,824
223.225.236.2,0
27.34.249.40,1282
27.124.41.17,873
27.97.248.41,0
27.97.223.78,520
37.228.106.57,568
27.107.82.208,452
23.236.124.218,883
27.6.136.239,0
223.223.150.134,276
37.228.104.190,723
223.238.203.205,517
37.228.107.117,973
43.227.129.43,764
45.64.212.150,1486
49.204.28.187,853
43.243.36.2,84
45.114.62.7,691
49.248.11.178,106
49.14.231.66,372
49.200.126.45,792
49.205.244.116,907
49.14.54.55,150
49.213.40.212,864
49.203.178.209,520
43.242.118.54,0
49.200.94.27,958
49.213.33.244,285
49.202.50.202,0
49.238.56.252,394
49.207.200.12,703
49.14.206.53,616
49.248.120.22,1429
49.206.238.195,845
49.32.0.227,750
52.0.190.149,1600
49.248.162.237,972
59.178.34.178,637
59.88.60.145,658
59.178.166.221,482
59.94.105.88,459
60.243.217.178,306
61.246.186.198,4316
60.243.224.28,580
60.243.218.194,618
59.88.34.167,679
59.95.104.18,476
61.0.26.69,675
59.161.67.208,0
59.184.248.188,182
59.96.209.32,570
59.98.243.103,0
60.243.33.64,539
59.95.36.113,202
59.178.35.97,0
59.183.128.240,828
59.97.232.110,792
59.91.115.15,17
59.177.70.254,0
59.95.209.244,193
59.184.242.33,545
54.87.182.1,617
61.1.157.180,883
66.249.82.191,2559
70.39.184.200,491
70.39.186.248,265
72.163.220.29,613
70.39.186.82,0
95.131.110.104,258
92.97.149.210,0
8.37.224.98,133
