clientIp,sessionTimeSum
1.187.217.224,928
1.22.64.25,2342
1.187.119.252,0
1.23.191.80,0
1.22.216.85,218
1.22.112.17,915
1.23.69.175,778
1.38.18.169,2398
1.38.19.5,587
1.39.32.20,475
1.39.35.66,1517
1.39.11.203,75
1.39.15.87,0
1.38.18.82,679
1.39.33.158,1762
1.39.60.239,328
1.39.80.108,1016
1.39.60.100,577
103.10.134.214,684
101.223.253.233,102
103.15.53.83,0
101.220.170.142,721
101.2.25.79,0
101.221.136.84,160
101.223.121.170,730
101.219.225.72,985
101.63.183.140,0
101.2.58.221,0
101.59.215.26,803
101.63.143.24,808
101.57.81.35,0
101.57.162.93,597
101.221.131.43,0
101.59.204.137,1715
101.59.210.141,1416
101.212.66.72,0
103.16.70.157,2439
103.234.136.213,1326
103.232.233.139,48
103.229.232.6,116
103.252.26.159,829
103.249.6.204,0
103.39.131.145,4834
103.240.170.24,717
103.247.83.189,1021
103.248.84.136,987
103.238.110.204,0
103.254.175.254,632
103.245.199.221,486
106.219.28.219,985
106.205.61.186,893
106.221.159.231,214
106.51.122.134,959
106.215.167.78,0
106.220.139.137,58
106.192.152.161,267
106.201.248.190,740
106.220.252.168,413
106.221.147.14,196
106.194.29.196,507
106.51.129.147,2348
106.194.40.137,913
106.192.160.0,385
106.215.184.58,806
106.208.32.131,0
106.221.139.151,0
103.50.144.207,237
106.220.182.79,80
106.194.11.204,380
106.194.55.99,569
106.192.179.59,529
106.215.139.155,13
106.215.134.183,754
103.51.139.247,0
106.220.113.21,284
106.192.149.210,350
106.220.231.175,1529
106.51.135.180,1492
106.77.113.233,871
106.78.3.116,495
106.66.37.206,143
106.76.50.86,1084
107.150.9.85,1913
106.77.130.143,790
106.78.61.105,529
106.79.176.220,794
106.77.131.99,709
106.77.150.104,644
106.79.83.226,846
106.79.149.238,0
107.167.109.56,2842
107.167.107.198,2172
111.93.18.238,694
111.91.34.231,402
110.172.129.54,0
107.167.99.132,956
110.172.54.18,0
111.235.148.51,1358
107.167.99.186,0
111.93.239.202,1159
112.79.36.125,961
111.93.250.214,646
112.79.37.221,1194
113.193.34.213,0
114.79.182.82,0
112.79.39.74,934
112.79.37.88,972
114.31.224.152,0
113.193.48.52,297
115.112.49.82,1228
115.248.158.125,331
115.245.211.22,0
115.245.0.176,0
115.187.61.46,404
115.241.44.185,1229
115.245.254.129,269
115.114.133.18,220
115.184.245.34,307
115.242.181.155,0
115.118.126.35,1593
115.245.170.4,361
115.248.100.180,0
115.242.227.39,958
115.118.104.137,753
115.250.110.134,437
116.202.34.178,302
116.203.16.6,990
115.250.105.173,605
116.202.64.9,554
116.203.74.99,575
115.248.184.166,0
117.192.148.107,872
115.249.186.139,499
117.193.171.162,0
115.250.29.228,936
116.203.121.221,285
115.97.36.237,305
117.192.11.143,147
115.250.71.110,411
116.202.179.219,257
116.202.32.2,710
115.254.80.85,807
117.194.250.241,974
115.248.162.181,224
116.202.111.45,1565
116.203.217.179,0
116.193.141.84,971
116.202.165.38,577
116.202.99.25,945
115.250.101.112,1000
117.195.194.82,1019
117.199.155.27,896
117.198.174.153,887
117.200.241.58,578
117.195.199.85,48
117.198.232.163,919
117.203.165.166,530
117.201.156.108,686
117.198.198.23,0
117.199.156.229,228
117.201.140.42,211
117.203.226.5,855
117.203.49.44,896
117.204.193.165,1174
117.237.225.59,738
