clientIp,sessionTimeSum
116.75.83.47,755
120.59.31.1,755
101.63.137.227,755
112.79.39.80,755
49.207.184.88,755
183.87.39.222,755
14.99.134.150,755
115.240.125.224,755
117.206.175.213,755
182.75.34.107,755
111.93.226.14,755
27.97.160.58,755
150.129.207.86,755
125.63.96.7,755
61.246.54.200,755
106.219.1.115,755
14.99.29.198,755
106.77.106.54,755
1.39.35.219,755
101.57.14.108,755
14.96.200.9,755
103.21.126.79,755
1.39.45.130,755
49.207.125.129,755
49.139.193.104,755
117.255.247.98,755
101.212.70.54,755
115.250.89.52,755
106.212.10.219,755
113.193.197.133,755
210.56.103.186,755
223.196.197.176,755
117.192.173.211,755
1.39.60.219,755
49.207.181.138,755
117.197.166.2,755
14.96.215.65,755
61.8.129.106,755
101.63.180.92,755
124.123.18.71,755
122.169.154.199,755
122.172.24.138,755
37.228.105.17,755
115.250.66.77,755
59.99.84.59,755
180.215.83.44,755
114.143.220.202,755
106.67.91.120,755
49.249.18.214,754
123.237.141.254,754
122.181.141.61,754
8.37.224.34,754
117.208.68.230,754
49.204.50.116,754
117.199.80.136,754
183.83.181.220,754
202.164.37.60,754
223.225.242.78,754
117.216.58.128,754
113.193.22.50,754
122.162.45.254,754
103.245.159.101,754
182.66.46.96,754
59.93.238.227,754
113.21.65.253,754
106.215.181.241,754
114.143.65.108,754
45.116.106.138,754
115.250.76.137,754
106.78.30.89,754
112.79.37.81,754
118.102.158.39,754
122.167.77.250,754
59.99.80.3,754
170.251.61.93,754
1.39.12.230,754
117.197.3.242,754
27.123.117.51,754
203.194.100.135,754
122.184.140.234,754
202.142.99.50,754
113.193.120.228,754
63.239.122.42,754
124.253.61.43,754
117.228.32.156,754
106.221.143.10,754
121.244.131.226,754
112.79.37.112,754
103.8.216.92,754
59.182.75.150,754
121.244.121.102,754
115.248.55.22,754
103.24.20.106,754
106.51.243.127,754
1.23.163.56,754
106.205.6.114,754
101.57.126.233,754
1.39.8.61,754
1.187.170.77,754
1.39.46.48,754
49.207.234.211,754
117.228.15.74,754
141.0.11.198,754
111.125.142.50,754
59.161.183.15,754
1.39.61.26,754
54.236.253.48,754
14.102.7.187,754
117.214.94.222,754
117.204.50.37,754
183.82.203.33,754
122.168.201.176,754
14.99.186.206,754
202.71.135.13,754
182.68.115.188,754
106.51.234.102,754
182.64.27.208,754
116.73.168.252,754
117.206.200.242,754
122.174.95.173,754
27.97.107.17,754
106.215.134.183,754
106.215.150.13,754
117.215.1.169,754
182.72.46.222,754
14.139.110.131,753
121.247.24.217,753
150.129.205.29,753
223.176.171.215,753
27.34.246.204,753
117.220.53.219,753
141.8.143.146,753
14.99.238.33,753
121.245.71.148,753
183.82.198.132,753
123.136.180.61,753
113.19.16.17,753
182.70.199.128,753
122.162.151.106,753
122.169.183.137,753
115.117.230.89,753
101.222.167.157,753
117.252.67.244,753
124.123.15.231,753
117.227.12.100,753
182.19.25.13,753
115.250.39.168,753
123.238.20.31,753
183.87.229.118,753
59.90.79.99,753
103.53.61.185,753
116.202.32.85,753
119.160.194.180,753
49.205.82.129,753
117.213.167.50,753
27.124.41.166,753
43.224.156.34,753
106.194.39.250,753
117.218.105.107,753
123.63.207.5,753
59.95.32.159,753
117.211.99.153,753
106.221.138.101,753
182.64.6.120,753
182.68.162.194,753
182.66.27.17,753
117.213.134.188,753
106.77.189.21,753
59.91.162.27,753
83.110.73.148,753
103.2.234.78,753
115.98.51.254,753
196.207.69.200,753
182.72.26.162,753
116.73.242.201,753
101.63.215.231,753
107.167.107.9,753
118.102.194.138,753
122.167.130.74,753
182.69.216.216,753
180.148.33.30,753
124.123.179.230,753
183.83.101.193,753
1.39.45.204,753
73.174.243.175,753
117.253.217.135,753
115.242.173.144,753
1.39.62.22,753
101.56.27.139,753
223.196.249.52,753
103.39.156.237,753
49.205.69.138,753
117.207.48.45,753
120.89.79.12,753
1.39.8.62,753
116.75.122.65,753
223.227.190.123,753
115.241.70.188,753
14.96.165.145,753
115.118.104.137,753
116.202.32.42,753
182.65.72.214,753
27.251.38.194,753
122.178.152.8,753
27.49.97.1,752
223.225.217.2,752
49.128.169.42,752
117.200.82.150,752
117.194.84.144,752
59.98.21.30,752
182.74.127.254,752
117.197.251.198,752
180.151.225.186,752
117.213.205.5,752
49.14.139.240,752
117.241.39.41,752
115.248.162.54,752
183.82.213.221,752
123.63.201.227,752
202.164.146.236,752
115.117.79.222,752
122.173.210.218,752
175.100.148.155,752
116.202.34.142,752
70.39.187.23,752
117.203.177.110,752
122.180.231.55,752
175.101.162.45,752
27.106.108.116,752
117.200.140.164,752
1.22.78.92,752
49.204.102.63,752
118.102.137.157,752
49.238.54.207,752
117.211.156.18,752
117.195.239.245,752
117.218.178.68,752
117.213.63.123,752
123.238.96.93,752
49.14.45.182,752
116.68.79.123,752
1.39.34.169,752
122.173.227.149,752
103.238.104.133,752
199.16.156.126,752
106.220.183.238,752
123.239.37.173,752
8.37.228.95,752
101.63.216.100,752
49.207.174.166,752
202.142.98.182,752
163.47.12.44,752
221.134.114.108,752
223.236.210.44,752
49.207.23.86,752
106.66.84.4,752
180.151.120.55,752
106.67.52.114,752
61.1.238.133,752
182.66.45.39,752
117.199.236.245,752
122.176.205.60,752
223.223.141.243,752
49.248.136.243,752
122.161.243.134,752
124.253.105.181,752
115.99.1.6,752
116.202.32.96,752
120.62.231.45,752
182.66.0.202,752
117.233.112.253,751
43.241.121.188,751
117.247.182.180,751
121.241.96.35,751
114.143.175.176,751
49.206.253.63,751
182.74.171.246,751
122.161.92.250,751
116.15.200.142,751
122.180.162.172,751
182.64.70.110,751
106.208.76.241,751
124.123.40.72,751
103.252.165.189,751
14.98.97.164,751
106.51.141.109,751
117.253.54.247,751
106.192.152.220,751
49.207.226.101,751
103.245.198.166,751
1.22.129.114,751
70.39.187.78,751
106.78.7.82,751
115.187.62.46,751
8.37.225.22,751
117.253.175.43,751
123.236.161.65,751
49.200.95.56,751
117.198.22.210,751
117.229.112.229,751
115.242.224.174,751
122.178.189.157,751
122.169.150.168,751
71.212.1.240,751
122.177.119.203,751
180.215.120.181,751
27.97.124.216,751
49.201.250.247,751
122.177.159.2,751
101.57.6.33,751
23.236.125.82,751
183.83.194.42,751
106.208.214.132,751
5.36.3.79,751
117.223.174.1,751
117.240.161.68,751
49.202.101.56,751
182.66.9.140,751
117.228.31.38,751
101.2.119.171,751
180.148.61.234,751
144.36.231.73,751
27.251.138.226,751
43.252.33.130,751
203.192.241.72,751
14.141.217.103,751
61.2.140.87,751
27.97.216.211,751
129.221.49.190,751
27.60.126.156,751
14.97.203.50,751
117.205.105.122,751
124.124.74.229,751
122.165.54.47,751
49.203.211.17,751
43.225.250.151,751
49.249.169.191,751
1.23.169.128,751
122.169.32.65,751
1.39.96.36,751
106.206.133.215,751
116.203.79.14,751
