clientIp,sessionTimeSum
14.98.39.172,610
101.59.72.85,610
1.39.14.45,610
61.3.51.176,610
14.97.78.82,610
103.242.155.62,610
223.227.106.56,610
141.0.10.94,610
223.227.108.184,610
122.166.237.253,610
43.225.25.2,610
112.79.39.133,610
122.169.96.63,610
180.215.120.254,609
122.177.197.20,609
1.39.8.95,609
117.255.242.253,609
5.107.56.13,609
101.212.72.15,609
14.99.197.147,609
59.90.24.109,609
111.91.6.145,609
123.252.212.50,609
1.187.135.129,609
106.67.66.28,609
106.208.104.200,609
14.96.11.58,609
61.1.206.126,609
136.185.249.147,609
182.73.200.138,609
1.39.14.209,609
163.47.15.87,609
115.115.187.140,609
119.82.109.122,609
223.227.44.211,609
125.18.117.234,609
223.229.27.167,609
37.228.104.203,609
223.186.219.248,609
101.212.69.197,609
111.93.121.234,609
49.207.228.249,609
202.83.19.109,609
103.9.97.229,609
106.51.135.182,609
120.59.231.101,609
182.69.66.65,609
49.249.87.57,609
27.107.15.57,609
114.79.160.150,609
27.97.23.31,609
49.207.172.120,609
122.176.201.144,609
1.187.213.25,609
180.215.235.236,609
59.165.9.21,609
220.225.48.116,609
223.176.171.211,609
115.97.35.44,609
61.12.69.163,609
106.51.134.181,609
103.37.81.45,609
27.97.26.42,609
202.142.91.244,609
101.221.136.146,609
182.72.240.166,609
223.176.155.189,609
103.38.39.172,609
223.176.36.95,609
103.19.203.57,609
122.170.106.42,609
106.67.99.198,609
117.214.253.187,609
121.245.173.194,609
203.192.239.3,609
122.172.90.31,609
106.192.163.118,609
115.245.200.75,608
49.201.166.208,608
106.192.160.127,608
116.203.77.125,608
101.221.136.51,608
122.172.82.90,608
168.235.194.235,608
101.219.229.130,608
59.89.242.215,608
117.210.124.36,608
113.20.16.187,608
107.167.99.174,608
1.39.13.70,608
121.245.153.232,608
101.222.230.247,608
14.96.147.117,608
1.187.251.130,608
219.64.70.112,608
117.233.34.134,608
45.64.239.169,608
116.203.222.129,608
1.23.170.113,608
14.97.160.1,608
171.76.246.31,608
101.222.167.162,608
117.199.204.193,608
43.224.129.11,608
106.215.160.153,608
122.168.190.243,608
1.38.20.239,608
106.51.243.42,608
101.212.67.24,608
182.66.16.8,608
175.100.175.54,608
59.160.24.68,608
180.87.13.234,608
122.171.79.187,608
14.98.38.112,608
117.253.137.129,608
49.205.46.31,608
117.206.68.74,608
106.219.32.1,608
182.59.213.39,608
117.196.8.234,608
59.97.193.227,608
123.201.179.238,608
223.229.90.254,608
115.246.190.15,608
203.109.94.109,608
103.51.74.71,608
106.79.7.193,608
115.250.50.224,608
124.253.197.45,608
107.167.107.136,608
112.110.89.16,608
202.83.19.8,608
117.246.145.162,608
106.76.16.10,607
45.118.155.206,607
106.67.107.132,607
122.177.179.102,607
117.248.220.140,607
195.233.250.6,607
112.110.122.34,607
124.253.157.8,607
59.93.160.224,607
163.47.12.68,607
117.213.110.111,607
117.206.185.250,607
49.207.69.159,607
182.73.157.170,607
1.23.82.217,607
118.102.147.106,607
43.241.120.183,607
223.176.136.235,607
117.195.82.31,607
59.177.202.39,607
223.184.66.143,607
69.171.230.118,607
117.214.0.145,607
103.255.115.54,607
103.18.170.218,607
117.255.204.65,607
59.99.137.119,607
61.3.79.102,607
117.213.137.247,607
106.76.4.53,607
27.34.252.122,607
106.76.57.243,607
117.208.84.122,607
27.97.131.81,607
111.93.163.242,607
70.39.186.225,607
106.220.98.207,607
101.59.201.44,607
117.221.138.95,607
122.170.133.205,607
103.253.202.46,607
43.255.167.51,607
203.78.219.4,607
117.196.154.111,607
223.176.39.150,607
106.216.131.205,607
117.206.36.62,606
219.91.177.104,606
182.19.79.237,606
111.92.11.251,606
113.193.99.170,606
182.64.12.167,606
115.184.82.143,606
182.64.173.82,606
59.96.40.101,606
14.96.203.123,606
27.59.140.86,606
63.86.88.10,606
43.226.30.223,606
49.15.81.40,606
117.206.32.78,606
183.87.152.118,606
122.169.74.228,606
106.78.201.188,606
117.195.228.11,606
117.250.246.110,606
202.88.250.107,606
120.56.242.247,606
117.206.26.64,606
106.79.15.129,606
182.72.116.54,606
117.206.225.150,606
43.224.128.225,606
106.208.37.85,606
117.192.94.239,606
49.207.80.4,606
14.139.206.86,606
101.222.175.109,606
14.141.23.222,606
85.17.156.99,606
59.91.70.190,606
115.242.131.150,606
117.207.37.51,606
27.107.251.179,606
106.51.129.61,606
210.212.123.13,606
117.201.218.75,606
120.59.40.88,606
106.208.64.88,606
106.51.126.59,606
14.141.207.214,606
223.234.233.146,606
163.47.15.215,606
122.162.71.103,606
183.87.182.20,606
61.3.125.248,606
122.169.239.233,606
115.250.41.30,606
1.23.240.114,606
14.98.113.224,606
223.196.84.26,606
212.93.55.34,606
115.250.40.32,606
92.99.236.65,606
1.39.45.243,606
183.83.2.224,606
117.238.152.11,605
103.49.125.1,605
117.204.18.166,605
70.39.185.60,605
103.44.49.234,605
223.196.178.148,605
122.174.46.37,605
223.176.3.86,605
101.212.72.27,605
203.188.228.201,605
203.187.235.187,605
115.250.126.221,605
101.2.35.202,605
103.248.94.46,605
119.82.95.163,605
182.71.124.34,605
59.95.231.1,605
106.51.134.79,605
182.65.253.66,605
117.230.38.144,605
117.217.160.52,605
1.39.62.223,605
117.218.179.179,605
49.203.126.87,605
122.174.27.103,605
14.96.106.188,605
117.236.191.178,605
49.204.111.37,605
106.196.232.165,605
103.36.127.150,605
122.177.18.103,605
163.47.14.154,605
119.226.37.202,605
59.91.253.211,605
49.249.30.50,605
117.213.109.26,605
1.39.33.207,605
117.220.156.194,605
117.233.171.74,605
117.250.87.7,605
14.139.86.99,605
103.224.145.47,605
122.176.152.200,605
202.65.130.68,605
117.204.63.17,605
106.220.12.160,605
106.76.6.205,605
183.82.98.46,605
123.201.83.8,605
14.97.166.6,605
223.225.196.204,605
103.5.16.69,605
183.87.84.94,605
1.187.200.254,605
59.185.102.210,605
182.74.116.34,605
122.175.216.29,605
182.69.35.150,605
103.39.128.170,605
49.203.112.235,605
203.192.225.77,605
49.15.156.111,605
163.47.15.228,605
223.176.138.12,605
115.250.105.173,605
182.69.48.186,605
49.200.117.123,605
