clientIp,sessionId,request,count(request)
1.39.61.53,2,https://paytm.com:443/offer/wp-content/plugins/images-thumbnail-sliderv1/css/images-thumbnail-sliderv1-style.css?ver=4.2.2,1
1.39.80.11,3,https://paytm.com:443/papi/nps/merchantrating?merchant_id=49633&channel=web&version=2,1
103.16.71.9,7,https://paytm.com:443/offer/wp-content/plugins/wp-responsive-slider-with-lightbox/css/l-box-css.css?ver=4.2.2,1
103.42.88.34,18,https://paytm.com:443/papi/rr/products/4339794/statistics?channel=web&version=2,1
117.194.96.174,25,https://paytm.com:443/papi/rr/products/14383981/statistics?channel=web&version=2,1
117.218.161.174,25,https://paytm.com:443/offer/wp-content/uploads/2015/07/eoss_620x443.jpg,1
122.160.151.159,29,https://paytm.com:443/offer/wp-includes/js/wp-emoji-release.min.js?ver=4.2.2,1
123.63.194.202,29,https://paytm.com:443/shop/cart?channel=web&version=2,1
125.16.112.6,30,https://paytm.com:443/shop/ad/paytmAd?cat=bus1&paytm=new,1
14.139.82.134,34,https://paytm.com:443/paytmwallet,1
192.65.41.113,58,https://paytm.com:443/papi/v1/promosearch/product/5771986/offers?parent_id=5772051&price=999&channel=web&version=2,1
223.235.30.236,62,https://paytm.com:443/api/user/favourite?channel=web&version=2,1
37.228.106.13,69,https://paytm.com:443/offer/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4,1
8.37.228.93,75,https://paytm.com:443/summary/1116586091,1
1.39.34.68,5,https://paytm.com:443/favicon.ico,1
101.59.72.197,14,https://paytm.com:443/bsnl-prepaid-mobile-online-recharge.htm?gclid=CKaX_JGw7sYCFcaVvQodqXMCTQ,1
112.79.35.197,29,http://www.paytm.com:80/,1
117.243.193.65,37,https://paytm.com:443/shop/cart?channel=web&version=2,2
122.173.13.231,50,https://paytm.com:443/shop/orderdetail/1116549071?channel=web&version=2,1
125.18.129.68,51,https://paytm.com:443/offer/wp-content/plugins/wp-thumbnail-slider/css/wpt-slide.css?ver=4.2.2,2
125.18.129.68,51,https://paytm.com:443/offer/wp-content/plugins/easy-logo-slider/js/jquery.jcarousel.min.js?ver=4.2.2,2
125.20.10.162,52,https://paytm.com:443/shop/orderdetail/1116639367?channel=web&version=2,1
14.99.196.68,54,https://paytm.com:443/shop/cart?channel=web&version=2,4
167.219.48.10,59,https://paytm.com:443/shop/p/indian-designer-silky-georgette-brown-saree-APPINDIAN-DESIGKENI403443D0C6F31,1
183.82.247.80,62,https://paytm.com:443/shop/v1/frequentorders?channel=web&version=2,1
202.164.25.5,65,https://paytm.com:443/offer/wp-includes/js/jquery/ui/resizable.min.js?ver=1.11.4,1
202.56.198.106,67,https://paytm.com:443/shop/cart/checkout?channel=web&version=2,1
203.176.112.109,69,https://paytm.com:443/papi/v1/promosearch/product/4246285/offers?parent_id=252017&price=4249&channel=web&version=2,1
59.94.246.117,84,https://paytm.com:443/papi/v1/promosearch/product/12031361/offers?parent_id=12052417&price=659&channel=web&version=2,1
59.94.96.189,84,https://paytm.com:443/shop/log,2
1.38.21.67,1,https://paytm.com:443/papi/rr/products/17510238/statistics?channel=web&version=2,1
106.67.104.188,11,https://paytm.com:443/shop/v1/frequentorders,1
106.76.32.137,11,https://paytm.com:443/checkout,2
111.93.187.22,13,https://paytm.com:443/offer/wp-content/uploads/2015/06/TCpage_23june.jpg,1
112.110.20.57,13,https://paytm.com:443/shop/log,1
114.143.59.253,14,https://paytm.com:443/papi/v1/promosearch/product/9169721/offers?parent_id=6623393,6
116.202.239.3,20,https://paytm.com:443/shop/v1/frequentorders?channel=web&version=2,1
117.233.6.208,23,https://paytm.com:443/shop/cart?channel=web&version=2,1
117.239.35.226,27,https://paytm.com:443/offer/wp-includes/js/masonry.min.js?ver=3.1.2,1
117.252.212.117,30,https://paytm.com:443/papi/v1/promosearch/product/5236192/offers?parent_id=5236256&price=13999&channel=web&version=2,1
118.151.208.143,30,https://paytm.com:443/shop/cart?channel=web&version=2,2
122.160.123.224,33,https://paytm.com:443/papi/rr/products/7532431/statistics?channel=web&version=2,1
123.252.214.174,33,https://paytm.com:443/offer/wp-content/plugins/wp-responsive-slider-with-lightbox/js/images-responsive-thumbnail-slider-plus-lightbox-jc.js?ver=4.2.2,1
182.65.121.113,40,https://paytm.com:443/shop/h/electronics?utm_source=Affiliates&utm_medium=VCOMM&utm_campaign=VCOMM-generic&utm_term=24890,1
182.71.168.60,41,https://paytm.com:443/shop/cart,1
182.74.97.14,41,https://paytm.com:443/,2
49.205.144.196,68,https://paytm.com:443/offer/wp-content/uploads/2015/07/logo34.gif,1
